"","Gender","Race_White","Race_Black","Race_Asian","Race_Other race","Age","Income","Household_info","Location_Northeast","Location_Midwest","Location_South","Location_West","Education","STEM","Employment","Industry_Agriculture, Forestry, Fishing and Hunting or Mining, Quarrying, and Oil and Gas Extraction","Industry_Utilities","Industry_Construction","Industry_Manufacturing","Industry_Wholesale Trade","Industry_Retail Trade","Industry_Transportation and Warehousing","Industry_Information","Industry_Finance and Insurance","Industry_Real Estate and Rental and Leasing","Industry_Professional, Scientific and Technical Services","Industry_Educational Services","Industry_Health Care and Social Assistance","Industry_Arts, Entertainment and Recreation","Industry_Accomodation and Food Services","Industry_Other Services and Community/Non-Profit Organizations (except Public Administration)","Industry_Public Administration","Industry_Other","Industry_Not Asked","Industry_Refused","Response"
"1",1,1,0,0,0,0.571428571428571,0.75,1,0,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",1,1,0,0,0,0.428571428571429,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"3",1,0,0,1,0,0.714285714285714,1,1,0,0,0,1,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"4",1,1,0,0,0,0.571428571428571,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"5",0,0,0,1,0,0.857142857142857,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"6",0,1,0,0,0,0.714285714285714,1,1,0,1,0,0,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"7",0,1,0,0,0,0.428571428571429,0.75,1,0,0,0,1,0.666666666666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"8",0,0,1,0,0,0.714285714285714,0.5,1,1,0,0,0,0.333333333333333,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"9",1,1,0,0,0,0.714285714285714,1,1,0,0,1,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"10",0,0,0,0,1,0.142857142857143,1,0,0,0,0,1,0.333333333333333,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"11",1,1,0,0,0,0.285714285714286,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"12",0,1,0,0,0,0.285714285714286,0.5,1,0,1,0,0,0.333333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"13",1,1,0,0,0,0.857142857142857,0.25,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"14",0,1,0,0,0,0.285714285714286,1,1,1,0,0,0,0.666666666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"15",0,0,1,0,0,0.285714285714286,0.25,1,0,0,1,0,0.333333333333333,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"16",1,1,0,0,0,0.428571428571429,0.5,1,0,0,1,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"17",0,1,0,0,0,0.714285714285714,0,1,0,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"18",1,1,0,0,0,0.857142857142857,0.75,1,0,0,1,0,0.333333333333333,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"19",1,1,0,0,0,0.857142857142857,0.75,1,1,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"20",0,1,0,0,0,0.571428571428571,1,1,0,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"21",0,1,0,0,0,0.714285714285714,1,1,0,1,0,0,0.333333333333333,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"22",0,0,0,1,0,0.428571428571429,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"23",1,1,0,0,0,0.714285714285714,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"24",1,1,0,0,0,0.142857142857143,0.25,1,0,0,0,1,0.333333333333333,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"25",1,1,0,0,0,0.714285714285714,1,1,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"26",0,1,0,0,0,0.714285714285714,0.5,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"27",0,1,0,0,0,0.714285714285714,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"28",0,1,0,0,0,0.714285714285714,0.5,1,0,1,0,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"29",1,1,0,0,0,0.571428571428571,0.75,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"30",0,1,0,0,0,0.571428571428571,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"31",1,1,0,0,0,0.142857142857143,0.5,1,0,1,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"32",1,1,0,0,0,0.714285714285714,0.5,1,0,0,1,0,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"33",1,1,0,0,0,0.428571428571429,0.25,1,0,0,1,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"34",0,1,0,0,0,0.285714285714286,0.5,1,0,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"35",1,1,0,0,0,0.714285714285714,0.75,1,1,0,0,0,0.333333333333333,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"36",1,1,0,0,0,0.428571428571429,1,1,0,0,0,1,0.333333333333333,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"37",0,1,0,0,0,0.571428571428571,0.5,1,1,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"38",0,1,0,0,0,0.714285714285714,0.25,1,0,1,0,0,0.333333333333333,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"39",1,1,0,0,0,0.285714285714286,0.5,0,0,0,0,1,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"40",1,1,0,0,0,0.285714285714286,1,1,0,0,1,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"41",1,1,0,0,0,0.428571428571429,0.5,0,0,0,0,1,0.333333333333333,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"42",0,1,0,0,0,0.285714285714286,1,1,0,1,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"43",0,1,0,0,0,0.428571428571429,0.75,1,1,0,0,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"44",1,1,0,0,0,0.714285714285714,0.5,1,1,0,0,0,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"45",0,0,0,0,1,0.285714285714286,1,0,0,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"46",1,1,0,0,0,0.857142857142857,1,1,1,0,0,0,0.333333333333333,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"47",1,1,0,0,0,0.571428571428571,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"48",0,1,0,0,0,0.714285714285714,0.5,1,0,0,1,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"49",1,1,0,0,0,0.714285714285714,0.75,1,0,0,0,1,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"50",0,1,0,0,0,0.571428571428571,0.25,1,1,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"51",1,1,0,0,0,0.714285714285714,0.25,1,0,1,0,0,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"52",1,1,0,0,0,0.571428571428571,1,1,0,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"53",1,0,0,0,1,0.714285714285714,1,1,0,1,0,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"54",1,1,0,0,0,0.285714285714286,0.5,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"55",0,1,0,0,0,0.714285714285714,0,1,1,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"56",0,1,0,0,0,0.857142857142857,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"57",0,0,1,0,0,0.428571428571429,0.75,0,0,0,1,0,0.666666666666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"58",0,1,0,0,0,0.714285714285714,1,1,0,0,0,1,0.333333333333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"59",0,1,0,0,0,0.571428571428571,0.75,1,0,1,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"60",0,1,0,0,0,0.428571428571429,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"61",1,1,0,0,0,0.714285714285714,0.75,1,0,1,0,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"62",0,1,0,0,0,0.571428571428571,0.75,1,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"63",0,0,0,1,0,0.285714285714286,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"64",1,1,0,0,0,0.714285714285714,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"65",1,1,0,0,0,0.714285714285714,0.25,1,0,1,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"66",0,1,0,0,0,0.571428571428571,1,1,1,0,0,0,0.333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"67",0,1,0,0,0,0.857142857142857,0,1,0,0,0,1,0.333333333333333,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"68",1,1,0,0,0,0.714285714285714,1,1,1,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"69",0,1,0,0,0,0.571428571428571,0.75,1,0,0,0,1,0.333333333333333,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"70",0,1,0,0,0,0.571428571428571,1,1,1,0,0,0,0.333333333333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"71",0,1,0,0,0,0.714285714285714,0.5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"72",1,1,0,0,0,0.857142857142857,1,1,0,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"73",1,1,0,0,0,0.714285714285714,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"74",1,1,0,0,0,0.428571428571429,0,0,0,0,1,0,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"75",0,1,0,0,0,0.857142857142857,1,1,0,0,0,1,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"76",0,1,0,0,0,0.714285714285714,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"77",1,0,0,1,0,0.714285714285714,1,1,0,0,0,1,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"78",0,0,0,0,1,0.714285714285714,0.5,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
